Player Name,Team Name,Total runs,Matches Played,Innings_Batting,Not Outs,Highest Score,Average,Balls Faced,Strike Rate_Batting,0,50,100,4s,6s,Matches,Innings_Bowling,Balls Bowled,Overs, Total Runs Conceded,Wickets,Best Bowling in Innings,Maidens,Bowling Average,Economy Rate,Strike Rate_Bowling,4 wicket,5 wicket
Abdul Samad,SRH,169,9,8,4,37*,42.25,128,132.03,0,0,0,10,11,,,,,,,,,,,,,
Abhishek Sharma,SRH,226,11,11,0,67,20.54,157,143.94,1,2,0,28,6,11,5,72,12,124,2,26-Jan,0,62,10.33,36,0,0
Abishek Porel,DC,33,4,4,0,20,8.25,31,106.45,0,0,0,1,2,,,,,,,,,,,,,
Adam Zampa,RR,10,6,3,0,7,3.33,16,62.5,0,0,0,0,0,6,6,132,22,188,8,22-Mar,0,23.5,8.54,16.5,0,0
Adil Rashid,SRH,22,2,2,0,18,11,16,137.5,0,0,0,2,1,2,2,42,7,56,2,23-Feb,0,28,8,21,0,0
Aiden Markram,SRH,248,13,13,2,50,22.54,197,125.88,1,1,0,18,8,,,,,,,,,,,,,
Ajinkya Rahane,CSK,326,14,11,1,71*,32.6,189,172.48,0,2,0,24,16,,,,,,,,,,,,,
Akash Deep,RCB,17,2,1,0,17,17,8,212.5,0,0,0,2,1,,,,,,,,,,,,,
Akash Madhwal,MI,,,,,,,,,,,,,,8,8,153,25.3,219,14,5-May,0,15.64,8.58,10.92,1,1
Akash Singh,CSK,,,,,,,,,,,,,,6,6,114,19,188,5,Feb-40,0,37.6,9.89,22.8,0,0
Akeal Hosein,SRH,16,1,1,1,16*,0,10,160,0,0,0,1,1,,,,,,,,,,,,,
Alzarri Joseph,GT,7,7,2,2,7*,0,12,58.33,0,0,0,1,0,7,7,144,24,225,7,27-Feb,0,32.14,9.37,20.57,0,0
Aman Hakim Khan,DC,110,11,9,1,51,13.75,101,108.91,1,1,0,7,6,,,,,,,,,,,,,
Ambati Rayudu,CSK,158,16,12,2,27*,15.8,113,139.82,1,0,0,10,9,,,,,,,,,,,,,
Amit Mishra,LSG,19,7,1,0,19,19,30,63.33,0,0,0,2,0,7,7,114,19,149,7,21-Feb,0,21.28,7.84,16.28,0,0
Andre Russell,KKR,227,14,14,3,42,20.63,156,145.51,1,0,0,13,18,14,9,91,15.1,172,7,22-Mar,0,24.57,11.34,13,0,0
Anmolpreet Singh,SRH,105,4,4,0,36,26.25,82,128.04,0,0,0,15,2,,,,,,,,,,,,,
Anrich Nortje,DC,37,10,7,4,23*,12.33,29,127.58,1,0,0,6,0,10,10,240,40,364,10,20-Feb,0,36.4,9.1,24,0,0
Anuj Manohar,GT,114,9,6,0,42,19,83,137.34,0,0,0,6,7,,,,,,,,,,,,,
Anuj Rawat,RCB,91,9,7,4,29*,30.33,71,128.16,0,0,0,6,4,,,,,,,,,,,,,
Anukul Roy,KKR,23,4,4,2,13*,11.5,19,121.05,1,0,0,3,0,4,3,48,8,65,3,19-Feb,0,21.66,8.12,16,0,0
Arjun Tendulkar,MI,13,4,1,0,13,13,9,144.44,0,0,0,0,1,4,4,59,9.5,92,3,9-Jan,0,30.66,9.35,19.66,0,0
Arshad Khan,MI,18,6,3,1,15*,9,15,120,0,0,0,0,1,6,6,85,14.1,190,5,Mar-39,0,38,13.41,17,0,0
Arshdeep Singh,PBKS,,,,,,,,,,,,,,14,14,305,50.5,493,17,29-Apr,0,29,9.69,17.94,1,0
Asif Km,RR,,,,,,,,,,,,,,4,4,84,14,138,3,Feb-42,0,46,9.85,28,0,0
Atharva Taide,PBKS,186,7,7,0,66,26.57,129,144.18,1,2,0,20,6,,,,,,,,,,,,,
Avesh Khan,LSG,,,,,,,,,,,,,,9,9,174,29,283,8,25-Mar,0,35.37,9.75,21.75,0,0
Axar Patel,DC,283,14,13,3,54,28.3,203,139.4,0,1,0,21,15,14,13,282,47,338,11,13-Feb,0,30.72,7.19,25.63,0,0
Ayush Badoni,LSG,238,15,12,2,59*,23.8,172,138.37,0,1,0,13,12,,,,,,,,,,,,,
Ben Stokes,CSK,15,2,2,0,8,7.5,14,107.14,0,0,0,2,0,,,,,,,,,,,,,
Bhanuka Rajapaksa,PBKS,71,4,4,1,50,23.66,62,114.51,1,1,0,6,2,,,,,,,,,,,,,
Bhuvneshwar Kumar,SRH,42,14,6,3,27,14,47,89.36,0,0,0,4,0,14,14,306,51,425,16,30-May,1,26.56,8.33,19.12,0,1
Cameron Green,MI,452,16,16,7,100*,50.22,282,160.28,0,2,1,40,22,16,16,228,38,361,6,Feb-41,0,60.16,9.5,38,0,0
Chetan Sakariya,DC,4,2,2,1,4,4,6,66.66,0,0,0,1,0,2,2,48,8,89,3,Feb-53,0,29.66,11.12,16,0,0
Chris Jordan,MI,6,6,2,0,4,3,12,50,0,0,0,0,0,6,6,132,22,237,3,7-Jan,1,79,10.77,44,0,0
Dasun Shanaka,GT,26,3,3,1,17,13,26,100,1,0,0,2,1,,,,,,,,,,,,,
David Miller,GT,259,16,13,5,46,32.37,178,145.5,1,0,0,18,13,,,,,,,,,,,,,
David Warner,DC,516,14,14,0,86,36.85,392,131.63,2,6,0,69,10,,,,,,,,,,,,,
David Wiese,KKR,21,3,3,2,12*,21,11,190.9,0,0,0,0,3,,,,,,,,,,,,,
David Willey,RCB,35,4,3,3,20*,0,32,109.37,0,0,0,4,0,4,4,90,15,105,3,16-Feb,1,35,7,30,0,0
Deepak Chahar,CSK,,,,,,,,,,,,,,10,10,204,34,297,13,22-Mar,0,22.84,8.73,15.69,0,0
Deepak Hooda,LSG,84,12,12,1,17,7.63,90,93.33,0,0,0,3,2,,,,,,,,,,,,,
Devdutt Padikkal,RR,261,11,11,1,52,26.1,200,130.5,0,2,0,31,6,,,,,,,,,,,,,
Devon Conway,CSK,672,16,15,2,92*,51.69,481,139.7,1,6,0,77,18,,,,,,,,,,,,,
Dhruv Jurel,RR,152,13,11,4,34*,21.71,88,172.72,1,0,0,11,9,,,,,,,,,,,,,
Dinesh Karthik,RCB,140,13,13,1,30,11.66,104,134.61,4,0,0,13,5,,,,,,,,,,,,,
Faf Du Plessis,RCB,730,14,14,1,84,56.15,475,153.68,0,8,0,60,36,,,,,,,,,,,,,
Fazalhaq Farooqi,SRH,,,,,,,,,,,,,,4,4,80,13.2,117,4,Feb-41,0,29.25,8.77,20,0,0
Glenn Maxwell,RCB,400,14,14,2,77,33.33,218,183.48,2,5,0,29,31,14,7,62,10.2,94,3,3-Jan,0,31.33,9.09,20.66,0,0
Glenn Phillips,SRH,39,5,5,0,25,7.8,22,177.27,1,0,0,2,4,5,2,18,3,20,1,10-Jan,0,20,6.66,18,0,0
Hardik Pandya,GT,346,16,15,4,66,31.45,253,136.75,0,2,0,26,15,16,11,150,25,228,3,10-Jan,0,76,9.12,50,0,0
Harpreet Brar,PBKS,52,13,8,2,17*,8.66,41,126.82,1,0,0,5,2,13,11,163,27.1,218,9,30-Apr,0,24.22,8.02,18.11,1,0
Harpreet Singh,PBKS,76,3,3,0,41,25.33,59,128.81,0,0,0,8,3,,,,,,,,,,,,,
Harry Brook,SRH,190,11,11,2,100*,21.11,154,123.37,3,0,1,23,4,,,,,,,,,,,,,
Harshal Patel,RCB,6,14,2,0,6,3,6,100,1,0,0,0,1,14,13,282,47,454,14,Mar-32,0,32.42,9.65,20.14,0,0
Harshit Rana,KKR,,,,,,,,,,,,,,6,6,102,17,147,5,Feb-33,0,29.4,8.64,20.4,0,0
Heinrich Klaasen,SRH,448,12,11,2,104,49.77,253,177.07,0,2,1,32,25,,,,,,,,,,,,,
Hrithik Shokeen,MI,23,8,3,2,18*,23,17,135.29,0,0,0,4,0,8,8,114,19,187,3,Feb-34,0,62.33,9.84,38,0,0
Ishan Kishan,MI,454,16,15,0,75,30.26,318,142.76,0,3,0,54,18,,,,,,,,,,,,,
Ishant Sharma,DC,,,,,,,,,,,,,,8,8,150,25,206,10,19-Feb,0,20.6,8.24,15,0,0
Jason Behrendorff,MI,6,12,2,2,3*,0,9,66.66,0,0,0,0,0,12,12,252,42,387,14,23-Mar,0,27.64,9.21,18,0,0
Jason Holder,RR,12,8,3,1,11,6,11,109.09,1,0,0,0,1,8,8,171,28.3,284,4,Feb-29,0,71,9.96,42.75,0,0
Jason Roy,KKR,285,8,8,0,61,35.62,188,151.59,0,2,0,36,12,,,,,,,,,,,,,
Jaydev Unadkat,LSG,9,3,1,0,9,9,7,128.57,0,0,0,1,0,,,,,,,,,,,,,
Jitesh Sharma,PBKS,309,14,14,1,49*,23.76,198,156.06,1,0,0,22,21,,,,,,,,,,,,,
Joe Root,RR,10,3,1,0,10,10,15,66.66,0,0,0,1,0,,,,,,,,,,,,,
Jofra Archer,MI,4,5,2,2,3*,0,4,100,0,0,0,0,0,5,5,120,20,190,2,Jan-35,0,95,9.5,60,0,0
Jos Buttler,RR,392,14,14,0,95,28,282,139,5,4,0,42,14,,,,,,,,,,,,,
Josh Hazlewood,RCB,,,,,,,,,,,,,,3,3,54,9,76,3,15-Feb,0,25.33,8.44,18,0,0
Josh Little,GT,,,,,,,,,,,,,,10,10,204,34,294,7,25-Feb,0,42,8.64,29.14,0,0
Kagiso Rabada,PBKS,,,,,,,,,,,,,,6,6,138,23,232,7,Feb-34,0,33.14,10.08,19.71,0,0
Kannur Lokesh Rahul,LSG,274,9,9,1,74,34.25,242,113.22,0,2,0,28,4,,,,,,,,,,,,,
Karn Sharma,LSG,12,2,2,0,9,6,21,57.14,0,0,0,0,0,,,,,,,,,,,,,
Kartikeya Sharma,RCB,3,7,2,0,2,1.5,5,60,0,0,0,0,0,7,7,129,21.3,223,10,19-Feb,0,22.3,10.37,12.9,0,0
Kedar Jadhav,RCB,12,2,1,1,12*,0,10,120,0,0,0,1,0,,,,,,,,,,,,,
Khaleel Ahmed,DC,,,,,,,,,,,,,,9,9,198,33,301,9,24-Feb,2,33.44,9.12,22,0,0
Krishnappa Gowtham,LSG,61,7,7,3,23,15.25,37,164.86,0,0,0,2,5,7,6,96,16,118,3,10-Jan,0,39.33,7.37,32,0,0
Krunal Pandya,LSG,188,15,14,4,49*,18.8,165,113.93,3,0,0,15,6,15,12,252,42,313,9,18-Mar,0,34.77,7.45,28,0,0
Kuldeep Khejroliya,KKR,,,,,,,,,,,,,,2,2,26,4.2,64,2,Feb-44,0,32,14.76,13,0,0
Kuldeep Yadav,DC,31,14,10,8,10*,15.5,48,64.58,2,0,0,2,0,14,14,294,49,361,10,15-Feb,1,36.1,7.36,29.4,0,0
Kumar Kartikeya,MI,6,8,1,0,6,6,7,85.71,0,0,0,1,0,8,8,156,26,227,5,Feb-37,0,45.4,8.73,31.2,0,0
Kyle Mayers,LSG,379,13,13,0,73,29.15,263,144.1,2,4,0,38,22,,,,,,,,,,,,,
Lalit Yadav,DC,66,6,6,1,38,13.2,59,111.86,0,0,0,8,0,6,4,78,13,118,2,29-Jan,0,59,9.07,39,0,0
Liam Livingstone,PBKS,279,9,9,1,94,34.87,171,163.15,0,2,0,20,19,9,5,42,7,94,2,19-Jan,0,47,13.42,21,0,0
Litton Das,KKR,4,1,1,0,4,4,4,100,0,0,0,1,0,,,,,,,,,,,,,
Maheesh Theekshana,CSK,,,,,,,,,,,,,,13,13,294,49,392,11,23-Feb,1,35.63,8,26.72,0,0
Mahendra Singh Dhoni,CSK,104,16,12,8,32*,26,57,182.45,1,0,0,3,10,,,,,,,,,,,,,
Mahipal Lomror,RCB,135,12,10,2,54*,16.87,97,139.17,1,1,0,9,8,,,,,,,,,,,,,
Manan Vohra,LSG,10,1,1,0,10,10,11,90.9,0,0,0,1,0,,,,,,,,,,,,,
Mandeep Singh,KKR,14,3,3,0,12,4.66,16,87.5,1,0,0,0,1,,,,,,,,,,,,,
Manish Pandey,DC,160,10,9,0,50,17.77,146,109.58,2,1,0,15,3,,,,,,,,,,,,,
Marco Jansen,SRH,39,8,6,3,17*,13,43,90.69,0,0,0,4,0,8,8,162,27,267,10,16-Feb,1,26.7,9.88,16.2,0,0
